path,source_title,source_org,category,subcategory,lab_type,risk_level,hazard_types,tags,language,question_hint,reviewer
_extracted\安全管理和要求_20260310_110503\500kV以下工业X射线探伤机防护规则.pdf,500kV以下工业X射线探伤机防护规则,国家标准,专项安全,辐射安全,通用,4,辐射;电气,pdf;辐射安全;X射线;无损检测,zh-CN,工业X射线探伤设备在实验室或检测场景中有哪些辐射防护要求？,blaze
_extracted\安全管理和要求_20260310_110503\工2.pdf,工业自动化产品安全要求 第6部分：电磁阀的安全要求,国家标准,设备安全,流体与电磁阀安全,通用,3,电气;机械;流体压力,pdf;设备安全;电磁阀;工业自动化,zh-CN,电磁阀类设备在实验装置中应满足哪些安全要求？,blaze
_extracted\安全管理和要求_20260310_110503\工业自动化产品安全要求.pdf,工业自动化产品安全要求 第10部分：记录仪表的安全要求,国家标准,设备安全,记录仪表安全,通用,3,电气;机械;火灾,pdf;设备安全;记录仪表;工业自动化,zh-CN,记录仪表类设备在实验室应用中有哪些安全控制要点？,blaze
_extracted\安全管理和要求_20260310_110503\计量器具配备和管理要求.pdf,建筑材料行业能源计量器具配备和管理要求,行业标准,实验室管理,计量器具管理,通用,2,综合安全,pdf;实验室管理;计量;器具管理,zh-CN,实验室和检测场景中的计量器具应如何配备和管理？,blaze
_extracted\实验室相关_20260310_110503\实验室仪器和设备质量检验规则.pdf,实验室仪器和设备质量检验规则,行业标准,实验室管理,设备质量检验,通用,3,综合安全,pdf;实验室;仪器设备;质量检验,zh-CN,实验室仪器和设备应如何开展质量检验与周期检查？,blaze
_extracted\实验室相关_20260310_110503\测量、控制和实验室用电气设备.pdf,测量、控制和实验室用电气设备安全技术规范,国家标准,实验室设备安全,电气设备安全,电气,4,电气;机械;辐射,pdf;实验室设备;电气安全;联锁保护,zh-CN,实验室用电气设备应满足哪些电击、防火和联锁保护要求？,blaze
_extracted\实验室相关_20260310_110503\移动实验室移动特性.pdf,移动实验室移动特性,行业标准,实验室管理,移动实验室,通用,3,综合安全,pdf;移动实验室;实验室管理,zh-CN,移动实验室在运输和使用过程中应关注哪些移动特性与安全要求？,blaze
_extracted\例子(1)_20260310_110503\电液伺服万能试验机.pdf,电液伺服万能试验机,行业标准,实验设备,力学试验设备,通用,3,机械;液压,pdf;试验机;实验设备;液压,zh-CN,电液伺服万能试验机在实验室使用中有哪些设备安全和检验要点？,blaze
_extracted\例子(1)_20260310_110503\高 压 绝 缘 电 阻 表.pdf,高压绝缘电阻表,行业标准,电气安全,检测仪表,电气,4,电气,pdf;电气安全;绝缘电阻表;检测仪表,zh-CN,高压绝缘电阻表在检测和使用时需要满足哪些安全要求？,blaze
_extracted\应用技术规范(1)_20260310_110503\燃气气瓶和燃气瓶阀溯源二维码应用技术规范.pdf,燃气气瓶和燃气瓶阀溯源二维码应用技术规范,行业标准,危险源管理,气瓶管理,通用,4,高压气体;火灾,pdf;气瓶;危险源;追溯管理,zh-CN,实验室涉及燃气气瓶和瓶阀时，应如何做好标识追溯和管理？,blaze
_extracted\检测方法_20260310_110503\GBT+33210-2025.pdf,无损检测 基于逆磁致伸缩效应的残余应力检测方法,国家标准,检测方法,无损检测,通用,3,综合安全,pdf;无损检测;残余应力;检测方法,zh-CN,基于逆磁致伸缩效应的残余应力检测方法有哪些关键流程和适用范围？,blaze
_extracted\检测方法_20260310_110503\无损检测 在役非铁磁性金属检测方法.pdf,无损检测 在役非铁磁性金属管内氧化物堆积的磁性检测方法,国家标准,检测方法,无损检测,通用,3,综合安全,pdf;无损检测;在役检测;金属管,zh-CN,在役非铁磁性金属管氧化物堆积检测的基本流程和结果评定要点是什么？,blaze
_extracted\检测方法_20260310_110503\无损检测 绝缘材料太赫兹检测方法.pdf,无损检测 绝缘材料太赫兹检测方法,国家标准,检测方法,无损检测,电气,3,电气,pdf;无损检测;太赫兹;绝缘材料,zh-CN,绝缘材料太赫兹检测方法适用于哪些场景，关键检测对象有哪些？,blaze
_extracted\检测方法_20260310_110503\无损检测 长材视觉检测方法.pdf,无损检测 长材视觉检测方法,国家标准,检测方法,无损检测,通用,2,综合安全,pdf;无损检测;视觉检测;长材,zh-CN,长材视觉检测方法的检测程序、记录和报告要求有哪些？,blaze
_extracted\检测方法_20260310_110503\无损检测超声检测树脂基复合材料检测方法.pdf,无损检测 超声检测 树脂基复合材料制件对比试块规范,国家标准,检测方法,无损检测,通用,2,综合安全,pdf;无损检测;超声检测;复合材料,zh-CN,树脂基复合材料超声检测用对比试块在设计和检验上有哪些规范要求？,blaze
