source_id,title,source_org,category,subcategory,lab_type,risk_level,hazard_types,url,tags,suggested_tags,priority,language,question_hint
WEBV2-001,高等学校实验室安全规范（下载版）,四川师范大学实验室与设备管理处,标准,国家规范,通用,4,综合安全,https://lab.sicnu.edu.cn/upload/file/20260325/6391004610320021101947055.pdf,教育部;高校实验室;安全规范;official_relink_v4_1;official_relink_v4_2,权威来源;国家规范;高优先级;official_relink_v4_1;official_relink_v4_2,P0,zh-CN,教育部高等学校实验室安全规范有哪些核心要求
WEBV2-002,高等学校实验室安全分级分类管理办法（试行）,中国政府网,制度,国家规范,通用,4,综合安全,https://www.gov.cn/zhengce/zhengceku/202404/content_6946788.htm,教育部;分级分类;管理办法;official_relink_v4_1,权威来源;管理制度;高优先级;official_relink_v4_1,P0,zh-CN,高校实验室安全分级分类管理办法有哪些执行要求
WEBV2-003,国家危险废物名录（2021年版）,生态环境部,标准,国家规范,化学,4,危废;化学,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202011/t20201127_810202.html,生态环境部;危险废物;名录,危废处置;法规依据;高优先级,P0,zh-CN,国家危险废物名录中与实验室相关的类别有哪些
WEBV2-004,危险废物排除管理清单（2021年版）,生态环境部,制度,国家规范,化学,4,危废;化学,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202112/t20211203_962984.html,生态环境部;危废排除;管理清单,危废管理;法规依据;高优先级,P0,zh-CN,危险废物排除管理清单对实验室废物管理有什么影响
WEBV2-005,病原微生物实验室生物安全管理条例（法规页面）,生态环境部,制度,国家规范,生物,5,生物,https://www.mee.gov.cn/ywgz/fgbz/xzfg/202303/t20230316_1019776.shtml,病原微生物;生物安全;管理条例,生物安全;法规依据;高优先级,P0,zh-CN,病原微生物实验室生物安全管理条例的关键管控点有哪些
WEBV2-006,易制毒化学品管理条例,中国政府网,制度,国家规范,化学,5,危化品;化学,https://www.gov.cn/gongbao/content/2005/content_91170.htm,国务院;易制毒化学品;管理条例,危化品管理;法规依据;高优先级,P0,zh-CN,易制毒化学品管理条例对实验室采购和使用有哪些要求
WEBV2-007,危险化学品目录（2015版）实施指南解读,应急管理部,标准,国家规范,化学,4,危化品;化学,https://www.mem.gov.cn/gk/zcjd/201503/t20150331_233183.shtml,应急管理部;危化品目录;政策解读,危化品目录;政策解读;高优先级,P0,zh-CN,危险化学品目录对实验室危化品分类有哪些依据
WEBV2-008,应急管理部关于调整《危险化学品目录（2015版）》中柴油部分条目的通知,应急管理部,制度,国家规范,化学,4,危化品;化学,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202212/t20221205_428008.shtml,应急管理部;危化品目录;柴油条款,目录更新;法规变更;高优先级,P0,zh-CN,危险化学品目录柴油条款调整后实验室需要注意什么
WEBV2-009,WHO Laboratory biosafety manual (4th edition),World Health Organization,标准,安全规范,生物,5,生物,https://www.who.int/publications/i/item/9789240011311,WHO;biosafety;manual,国际指南;生物实验室;高优先级,P0,en,What are the core principles in WHO laboratory biosafety manual 4th edition
WEBV2-010,Biosafety in Microbiological and Biomedical Laboratories (BMBL),CDC,标准,安全规范,生物,5,生物,https://www.cdc.gov/labs/bmbl/index.html,CDC;BMBL;biosafety,国际指南;生物实验室;高优先级,P0,en,What BMBL requirements are most relevant to university biosafety labs
WEBV2-011,Occupational exposure to hazardous chemicals in laboratories (29 CFR 1910.1450),OSHA,标准,国家规范,化学,4,危化品;化学,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1450,OSHA;laboratory standard;hazardous chemicals,国际法规;化学实验室;高优先级,P0,en-US,What are OSHA 1910.1450 key compliance requirements for labs
WEBV2-012,WHMIS Safety Data Sheet (SDS) 指南（PDF）,Canadian Centre for Occupational Health and Safety,SDS,安全手册,化学,4,危化品;化学,https://www.ccohs.ca/oshanswers/chemicals/whmis_ghs/sds.pdf,SDS;Thermo Fisher;化学品;official_relink_v4_1;official_relink_v4_2,供应商SDS;化学品安全;中优先级;official_relink_v4_1;official_relink_v4_2,P1,en,How can users locate SDS documents on Thermo Fisher website
WEBV2-013,Merck Safety Data Sheets,Merck,SDS,安全手册,化学,4,危化品;化学,https://www.merck.com/products/safety-data-sheets/,SDS;Merck;化学品,供应商SDS;化学品安全;中优先级,P1,en,How to search and use Merck SDS documents for lab safety
WEBV2-014,南京大学实验室安全手册（PDF）,南京大学环境学院,通用,安全手册,通用,3,综合安全,https://ieh.nju.edu.cn/__local/8/A5/B8/D150DB61E991AD05DC6DF77B2FB_C72C9B97_47135.pdf,高校;实验室安全;安全手册;official_relink_v4_1,高校实践;制度落地;中优先级;official_relink_v4_1,P1,zh-CN,南京大学实验室安全手册有哪些可直接借鉴的做法
WEBV2-015,上海大学实验室安全手册（页面）,上海大学,通用,安全手册,通用,3,综合安全,https://physics.shu.edu.cn/info/1161/8294.htm,高校;实验室安全;安全手册,高校实践;制度落地;中优先级,P1,zh-CN,上海大学实验室安全手册中有哪些管理条款值得参考
WEBV2-016,北京大学医学部实验室安全管理制度（PDF）,北京大学医学部,制度,安全管理,生物,4,综合安全;生物,https://lab.bjmu.edu.cn/docs/2023-12/20231222131430913902.pdf,高校;医学实验室;安全管理,高校实践;PDF源;高优先级,P0,zh-CN,北京大学医学部实验室安全制度中对人员管理有哪些要求
WEBV2-017,复旦大学实验室安全手册（页面）,复旦大学,通用,安全手册,通用,3,综合安全,https://sds.fudan.edu.cn/_t2392/f4/6b/c17416a455787/page.htm,高校;实验室安全;安全手册,高校实践;制度落地;中优先级,P1,zh-CN,复旦大学实验室安全手册中有哪些风险防控措施
